"","iso_code","year","country","population","co2","co2_per_capita"
"1","ABW",2016,"Aruba",104890,0.883,8.419
"2","ABW",2017,"Aruba",105454,0.89,8.443
"3","ABW",2018,"Aruba",105980,0.872,8.228
"4","ABW",2019,"Aruba",106458,0.912,8.57
"5","ABW",2020,"Aruba",106597,0.779,7.307
"6","AFG",2016,"Afghanistan",34636212,9.068,0.262
"7","AFG",2017,"Afghanistan",35643420,9.868,0.277
"8","AFG",2018,"Afghanistan",36686788,10.818,0.295
"9","AFG",2019,"Afghanistan",37769496,11.082,0.293
"10","AFG",2020,"Afghanistan",38972236,11.682,0.3
"11","AGO",2016,"Angola",29154742,27.21,0.933
"12","AGO",2017,"Angola",30208634,24.304,0.805
"13","AGO",2018,"Angola",31273538,22.779,0.728
"14","AGO",2019,"Angola",32353592,21.818,0.674
"15","AGO",2020,"Angola",33428490,20.276,0.607
"16","AIA",2016,"Anguilla",14842,0.154,10.368
"17","AIA",2017,"Anguilla",15040,0.143,9.501
"18","AIA",2018,"Anguilla",15201,0.143,9.4
"19","AIA",2019,"Anguilla",15408,0.154,9.988
"20","AIA",2020,"Anguilla",15612,0.131,8.416
"21","ALA",2016,"Aland Islands",NA,NA,NA
"22","ALA",2017,"Aland Islands",NA,NA,NA
"23","ALA",2018,"Aland Islands",NA,NA,NA
"24","ALA",2019,"Aland Islands",NA,NA,NA
"25","ALA",2020,"Aland Islands",NA,NA,NA
"26","ALB",2016,"Albania",2881064,4.632,1.608
"27","ALB",2017,"Albania",2879361,5.564,1.932
"28","ALB",2018,"Albania",2877019,4.984,1.732
"29","ALB",2019,"Albania",2873883,4.947,1.722
"30","ALB",2020,"Albania",2866850,4.729,1.649
"31","AND",2016,"Andorra",72563,0.469,6.463
"32","AND",2017,"Andorra",73853,0.465,6.301
"33","AND",2018,"Andorra",75034,0.495,6.592
"34","AND",2019,"Andorra",76361,0.48,6.286
"35","AND",2020,"Andorra",77723,0.449,5.775
"36","ANT",2016,"Netherlands Antilles",319898,NA,NA
"37","ANT",2017,"Netherlands Antilles",321292,NA,NA
"38","ANT",2018,"Netherlands Antilles",NA,NA,NA
"39","ANT",2019,"Netherlands Antilles",NA,NA,NA
"40","ANT",2020,"Netherlands Antilles",NA,NA,NA
"41","ARE",2016,"United Arab Emirates",8994266,212.344,23.609
"42","ARE",2017,"United Arab Emirates",9068297,214.156,23.616
"43","ARE",2018,"United Arab Emirates",9140172,210.218,22.999
"44","ARE",2019,"United Arab Emirates",9211660,208.496,22.634
"45","ARE",2020,"United Arab Emirates",9287286,199.084,21.436
"46","ARG",2016,"Argentina",43668236,189.92,4.349
"47","ARG",2017,"Argentina",44054616,186.899,4.242
"48","ARG",2018,"Argentina",44413592,180.599,4.066
"49","ARG",2019,"Argentina",44745516,178.512,3.989
"50","ARG",2020,"Argentina",45036032,169.263,3.758
"51","ARM",2016,"Armenia",2865841,5.203,1.816
"52","ARM",2017,"Armenia",2851929,5.54,1.943
"53","ARM",2018,"Armenia",2836563,5.826,2.054
"54","ARM",2019,"Armenia",2820604,6.284,2.228
"55","ARM",2020,"Armenia",2805610,6.431,2.292
"56","ASM",2016,"American Samoa",50468,NA,NA
"57","ASM",2017,"American Samoa",49486,NA,NA
"58","ASM",2018,"American Samoa",48445,NA,NA
"59","ASM",2019,"American Samoa",47341,NA,NA
"60","ASM",2020,"American Samoa",46216,NA,NA
"61","ATA",2016,NA,NA,NA,NA
"62","ATA",2017,NA,NA,NA,NA
"63","ATA",2018,NA,NA,NA,NA
"64","ATA",2019,NA,NA,NA,NA
"65","ATA",2020,NA,NA,NA,NA
"66","ATG",2016,"Antigua and Barbuda",90575,0.491,5.421
"67","ATG",2017,"Antigua and Barbuda",91133,0.491,5.387
"68","ATG",2018,"Antigua and Barbuda",91644,0.498,5.437
"69","ATG",2019,"Antigua and Barbuda",92127,0.498,5.409
"70","ATG",2020,"Antigua and Barbuda",92672,0.425,4.591
"71","AUS",2016,"Australia",24195706,411.264,16.997
"72","AUS",2017,"Australia",24590336,414.358,16.85
"73","AUS",2018,"Australia",24979228,416.284,16.665
"74","AUS",2019,"Australia",25357168,416.357,16.42
"75","AUS",2020,"Australia",25670052,399.922,15.579
"76","AUT",2016,"Austria",8736491,67.211,7.693
"77","AUT",2017,"Austria",8797497,69.593,7.911
"78","AUT",2018,"Austria",8840518,66.557,7.529
"79","AUT",2019,"Austria",8879939,67.936,7.651
"80","AUT",2020,"Austria",8907780,62.037,6.964
"81","AZE",2016,"Azerbaijan",9976254,34.727,3.481
"82","AZE",2017,"Azerbaijan",10071569,34.607,3.436
"83","AZE",2018,"Azerbaijan",10152524,34.576,3.406
"84","AZE",2019,"Azerbaijan",10232761,37.738,3.688
"85","AZE",2020,"Azerbaijan",10284952,37.508,3.647
"86","BDI",2016,"Burundi",10903329,0.467,0.043
"87","BDI",2017,"Burundi",11155592,0.53,0.048
"88","BDI",2018,"Burundi",11493476,0.684,0.059
"89","BDI",2019,"Burundi",11874838,0.718,0.06
"90","BDI",2020,"Burundi",12220229,0.657,0.054
"91","BEL",2016,"Belgium",11316837,99.602,8.801
"92","BEL",2017,"Belgium",11384491,99.126,8.707
"93","BEL",2018,"Belgium",11448598,99.874,8.724
"94","BEL",2019,"Belgium",11510569,99.433,8.638
"95","BEL",2020,"Belgium",11561716,90.368,7.816
"96","BEN",2016,"Benin",11260091,6.494,0.577
"97","BEN",2017,"Benin",11596786,6.804,0.587
"98","BEN",2018,"Benin",11940688,7.434,0.623
"99","BEN",2019,"Benin",12290443,7.144,0.581
"100","BEN",2020,"Benin",12643121,7.264,0.575
"101","BES",2016,"Bonaire Sint Eustatius and Saba",23793,0.103,4.312
"102","BES",2017,"Bonaire Sint Eustatius and Saba",24392,0.103,4.206
"103","BES",2018,"Bonaire Sint Eustatius and Saba",24995,0.099,3.958
"104","BES",2019,"Bonaire Sint Eustatius and Saba",25597,0.11,4.294
"105","BES",2020,"Bonaire Sint Eustatius and Saba",26178,0.094,3.585
"106","BFA",2016,"Burkina Faso",19275504,3.904,0.203
"107","BFA",2017,"Burkina Faso",19835860,4.519,0.228
"108","BFA",2018,"Burkina Faso",20392730,4.948,0.243
"109","BFA",2019,"Burkina Faso",20951638,5.296,0.253
"110","BFA",2020,"Burkina Faso",21522632,5.389,0.25
"111","BGD",2016,"Bangladesh",159784576,76.194,0.477
"112","BGD",2017,"Bangladesh",161793968,80.731,0.499
"113","BGD",2018,"Bangladesh",163683952,82.494,0.504
"114","BGD",2019,"Bangladesh",165516224,91.657,0.554
"115","BGD",2020,"Bangladesh",167420944,90.825,0.542
"116","BGR",2016,"Bulgaria",7245982,45.484,6.277
"117","BGR",2017,"Bulgaria",7182430,47.57,6.623
"118","BGR",2018,"Bulgaria",7117424,43.616,6.128
"119","BGR",2019,"Bulgaria",7052536,42.256,5.992
"120","BGR",2020,"Bulgaria",6979181,36.967,5.297
"121","BHR",2016,"Bahrain",1409668,31.56,22.388
"122","BHR",2017,"Bahrain",1456844,32.835,22.539
"123","BHR",2018,"Bahrain",1487346,32.787,22.044
"124","BHR",2019,"Bahrain",1494195,37.814,25.307
"125","BHR",2020,"Bahrain",1477478,37.603,25.451
"126","BHS",2016,"Bahamas",395986,1.979,4.997
"127","BHS",2017,"Bahamas",399027,2.096,5.252
"128","BHS",2018,"Bahamas",401911,2.7,6.719
"129","BHS",2019,"Bahamas",404563,2.535,6.267
"130","BHS",2020,"Bahamas",406478,2.167,5.33
"131","BIH",2016,"Bosnia and Herzegovina",3480985,21.73,6.243
"132","BIH",2017,"Bosnia and Herzegovina",3440025,22.156,6.441
"133","BIH",2018,"Bosnia and Herzegovina",3400132,22.075,6.492
"134","BIH",2019,"Bosnia and Herzegovina",3360718,20.81,6.192
"135","BIH",2020,"Bosnia and Herzegovina",3318410,20.933,6.308
"136","BLR",2016,"Belarus",9708111,58.134,5.988
"137","BLR",2017,"Belarus",9707874,59.262,6.105
"138","BLR",2018,"Belarus",9695573,62.094,6.404
"139","BLR",2019,"Belarus",9673971,62.039,6.413
"140","BLR",2020,"Belarus",9633745,58.592,6.082
"141","BLZ",2016,"Belize",367327,0.623,1.696
"142","BLZ",2017,"Belize",374702,0.616,1.643
"143","BLZ",2018,"Belize",382076,0.605,1.582
"144","BLZ",2019,"Belize",389103,0.707,1.817
"145","BLZ",2020,"Belize",394931,0.615,1.556
"146","BMU",2016,"Bermuda",63090,0.619,9.815
"147","BMU",2017,"Bermuda",63295,0.63,9.957
"148","BMU",2018,"Bermuda",63591,0.703,11.063
"149","BMU",2019,"Bermuda",63833,0.583,9.127
"150","BMU",2020,"Bermuda",64051,0.497,7.766
"151","BOL",2016,"Bolivia",11263016,22.683,2.014
"152","BOL",2017,"Bolivia",11435535,23.479,2.053
"153","BOL",2018,"Bolivia",11606906,23.799,2.05
"154","BOL",2019,"Bolivia",11777318,23.239,1.973
"155","BOL",2020,"Bolivia",11936169,21.068,1.765
"156","BRA",2016,"Brazil",206859584,492.748,2.382
"157","BRA",2017,"Brazil",208504960,497.413,2.386
"158","BRA",2018,"Brazil",210166592,477.102,2.27
"159","BRA",2019,"Brazil",211782880,475.105,2.243
"160","BRA",2020,"Brazil",213196304,442.306,2.075
"161","BRB",2016,"Barbados",278660,1.324,4.75
"162","BRB",2017,"Barbados",279199,1.206,4.321
"163","BRB",2018,"Barbados",279702,1.287,4.601
"164","BRB",2019,"Barbados",280193,1.177,4.201
"165","BRB",2020,"Barbados",280704,1.022,3.639
"166","BRN",2016,"Brunei",426001,7.633,17.918
"167","BRN",2017,"Brunei",430290,9.309,21.635
"168","BRN",2018,"Brunei",434283,9.344,21.517
"169","BRN",2019,"Brunei",438058,10.488,23.941
"170","BRN",2020,"Brunei",441736,10.553,23.89
"171","BTN",2016,"Bhutan",749764,1.153,1.537
"172","BTN",2017,"Bhutan",756130,1.239,1.639
"173","BTN",2018,"Bhutan",762104,1.349,1.771
"174","BTN",2019,"Bhutan",767467,1.447,1.886
"175","BTN",2020,"Bhutan",772512,1.5,1.941
"176","BWA",2016,"Botswana",2352419,6.348,2.699
"177","BWA",2017,"Botswana",2401848,7.077,2.947
"178","BWA",2018,"Botswana",2451411,7.504,3.061
"179","BWA",2019,"Botswana",2499705,6.782,2.713
"180","BWA",2020,"Botswana",2546404,6.259,2.458
"181","CAF",2016,"Central African Republic",4904182,0.198,0.04
"182","CAF",2017,"Central African Republic",4996741,0.216,0.043
"183","CAF",2018,"Central African Republic",5094795,0.22,0.043
"184","CAF",2019,"Central African Republic",5209329,0.227,0.044
"185","CAF",2020,"Central African Republic",5343024,0.214,0.04
